date,symbol,highest_price,entry_price
2026-06-10,ICMB,1.190000057220459,1.190000057220459
2026-06-10,AKBA,0.9241999983787536,0.9241999983787536
2026-06-10,RIME,0.7001000046730042,0.7001000046730042
2026-06-11,ICMB,1.190000057220459,1.190000057220459
2026-06-11,AKBA,0.9241999983787536,0.9241999983787536
2026-06-11,RIME,0.7001000046730042,0.7001000046730042
2026-06-12,IMNN,2.0299999713897705,2.0299999713897705
2026-06-12,OLB,0.4512999951839447,0.4512999951839447
2026-06-12,ICMB,1.2000000476837158,1.2000000476837158
2026-07-22,RIG,5.239999771118164,5.239999771118164
2026-07-23,RIG,5.300000190734863,5.300000190734863
2026-07-25,SOUN,6.159999847412109,6.159999847412109
2026-07-28,JOBY,7.369999885559082,7.369999885559082
2026-07-30,B,36.36000061035156,36.36000061035156
2026-07-30,DOW,30.450000762939453,30.450000762939453
2026-07-31,ONDS,7.579999923706055,7.579999923706055
2026-07-31,RGTI,14.859999656677246,14.859999656677246
2026-08-01,ONDS,7.489999771118164,7.489999771118164
2026-08-01,BX,127.75,127.75
2026-08-06,DOW,29.670000076293945,29.670000076293945
2026-08-07,CAVA,62.22999954223633,62.22999954223633
2026-08-07,IRM,121.95999908447266,121.95999908447266
2026-08-08,NOK,9.359999656677246,9.359999656677246
2026-08-08,CPNG,16.229999542236328,16.229999542236328
2026-08-08,AFRM,75.25,75.25
